RedJade Code,SMILES
012,CC(NC(=O)OC(C)(C)C)C(=O)O
014,Cc1ccc(C#N)c(C)c1
022,C1CCC2=NCCCN2CC1
029,CCCCN(C=O)CCCC
030,CCCCC(CC)CNCC(CC)CCCC
036,COC(=O)c1ccc(OC)c(N)c1
038,CC(C)COC(=O)CC#N
064,O=C1C2CC3CC1CC(O)(C3)C2
079,NC1CCCCCCC1
080,COc1c(C)cnc(CO)c1C
084,O=C(O)[C@@H]1CC=CCC1
087,Cc1ccccc1OC(C)C
089,CC(C)(C)/N=C/c1ccccc1
090,CCCCCCCCCC(=O)N(C)C
096,NCCCCCCCCCCCCN
098,C=CCOc1ccccc1C=O
103,CN(C)CCCCCCO
105,C1CCC(NC2CCCCC2)CC1
116,CC1CC(=O)OC1=O
120,COC(=O)c1ccnc(C#N)c1
121,CC(=O)c1cccc(C#N)c1
129,C1=C(N2CCOCC2)CCCC1
131,c1scc2c1OCCO2
133,Cc1c[nH]c(C)n1
139,Cc1c[nH]c(C)c1
140,COC(=O)c1cc(C)on1
143,CN(C)CC[C@H](O)c1cccs1
144,CC1(C)[C@H]2C[C@@H]1[C@](C)(O)[C@H](O)C2
146,Cn1ccnc1C=O
147,C=CN1CCCCCC1=O
150,CC(C)(C)C1CCCCC1
152,Cn1cc(C=O)c2ccccc21
157,CC(C)(C)OC(=O)C(C)(C)C
161,Cc1ccc2cccc(O)c2n1
171,CC1CN(C)CCC1=O
179,Nc1ccc(S)cc1
181,CC(=O)CC(=O)N(C)C
185,CC(CCN(C)C)N(C)C
188,c1cnn(C2CCCCO2)c1
190,c1ccc(CCc2ccccc2)cc1
191,CCCC(O)C(CC)CO
196,c1cncc(Cn2cccc2)c1
200,CC1(C(=O)O)CCCCC1
203,CCCC(=O)OCCOC(=O)CCC
206,Cc1ccc(N)c(N)c1
210,CC1(C)CC(=O)CC(C)(C)N1
211,CC(C)Sc1ccccc1
222,CCCCCCn1ccnc1
238,NC(CO)Cc1ccccc1
241,CC(=NO)c1ccccc1
245,OCC1CC=CCC1
246,N=c1nc(S)ss1
251,NCCOc1ccccc1
253,O=[N+]([O-])c1ccc(C=NO)o1
258,Oc1cccc2c1CCCC2
265,CN(C)C(C)(C)CO
277,C=CC(O)C#CC(C)(C)C
281,CCNCCC#N
282,Cc1ccc2ocnc2c1
294,N#CC1CC2C=CC1C2
297,CN1C2CCCC1CC(=NO)C2
301,COC(CSC)OC
307,CCCC[N+](=O)[O-]
312,O/N=C/c1cccs1
313,Nc1ccc2c(c1)OCCO2
315,CC(C)(C)C(=O)C(C)(C)C
317,CC1=NC(C)(C)CO1
318,CCOC(=O)C(=O)c1cccs1
320,CCCCCOc1ccc(C=O)cc1
321,C1=Cc2ccccc2C1
324,CC(C)(C)OC(=O)NCCCCCCN
330,O=C(O)CCCC1CCCCC1
335,COC(=O)[C@H]1COC(C)(C)O1
344,C=CC(=O)OC1CCCCC1
355,CSC(=NC#N)SC
367,O=C(O)C=Cc1ccco1
370,CC(=O)OCCN(C)C
373,Nc1ccccc1CCO
378,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
380,O=Cc1ccc2c(c1)CCO2
385,COC(=O)C(C)(C)C#N
401,CCc1ncc[nH]1
404,CN(C1CCCCC1)C1CCCCC1
405,CC(C)(C)OC(=O)N1CC(=CC#N)C1
409,CC(C)CN1CCOCC1
411,CCNc1cc(O)ccc1C
415,CN(C)C#N
416,CC[C@H](C)[C@H](N)CO
419,CC1CN(C(=O)OC(C)(C)C)CCN1
428,CCOC(C)=C(C#N)C#N
433,CCN(CC)CCOCCO
434,O=C1C[C@H]2C[C@@H]1C1CCCC12
436,O=[N+]([O-])c1ccc2c(c1)CCN2
439,Cc1cnc(O)c(N)c1
442,CC(=O)C1CC1
445,O=Cc1cc2ccccc2s1
449,CC1(C)C[C@@H]1C(N)=O
450,Cc1csc(C(=O)O)c1
452,OCCN1CCCCC1
457,CCN(Cc1ccccc1)c1ccccc1
461,CCNCc1ccncc1
465,COC(C)(C)CC(C)=O
470,O=Cc1csc2ccccc12
471,CCOC(=O)C(CC(C)C)C(=O)OCC
472,CC(C)(C)OC(=O)Nc1nccs1
474,O=C1CC(c2ccccc2)C(=O)O1
478,Cc1cccc(C=O)c1O
481,CN1C(=O)c2ccccc2C1=O
485,CC(C)(C)CCO
489,C=Cc1ccncc1
490,O=C(O)c1cscn1
491,COC(=O)C1(C(=O)OC)CCC1
499,CSc1ccc(N)cc1
500,NC1CCCc2ccccc21
507,C[C@]12C(=O)OC(=O)[C@H]1[C@H]1C=C[C@@H]2C1
511,c1ccc2[nH]ncc2c1
512,CNCCC(O)c1ccccc1
517,CN(CCO)c1ccccn1
518,CC/C(C)=N/O
520,COC(C)CCOC(=O)CCS
526,COC(=O)c1ccc[nH]1
527,N#CCSc1ccccc1
531,COc1ccc(OCC#N)cc1
534,Nc1cccnn1
541,CCOC(C)(OCC)OCC
545,OC(c1ccccc1)C1CC1
551,Nc1ccccc1-c1ccccc1
554,CNCc1cccc2ccccc12
561,CCN(O)CC
562,c1ccnnc1
563,CC(C)CCN(CCC(C)C)CCC(C)C
571,CC1(C)Oc2ccccc2O1
578,CC[C@@H](N)c1ccccc1
580,C1=Cc2cccc3cccc1c23
586,Cc1ccc2[nH]c(C)cc2c1
590,CC1CCCC(C)C1
591,COC1(OC)CCCCC1
592,CON(C)C(C)=O
594,O=C1CCCC(=O)C1
598,Cc1cc(C#N)c(N)s1
600,CC(C)=CC=C(C)C
601,CC1=NN(C)C(=O)C1
604,NC1CCCCC1O
607,CCOC(=O)c1csc(C)n1
615,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C
620,Cn1ccnc1
625,CN1CCCC1CCO
627,CCCCCC1CCC(=O)CC1
631,CCOC(=O)CN(C)C
642,O=C(O)CC1CC1
649,COc1cc(C)cc(C)c1
661,CC(C)(C)NC=O
665,C=C(CC(=O)OCCCC)C(=O)OCCCC
692,O=C(O)CCCC[C@@H]1CCSS1
694,O=C1OC(=O)C2CC=CCC12
698,CNc1ccccc1C(=O)O
700,CCNC(=O)NCC
702,CC1(C)C(=O)C(C)(C)C1=O
704,N#CCCNc1ccccc1
709,NCCSSCCN
710,CCC1=C(C)CNC1=O
717,Cc1csc(S)n1
721,C/C(=C\c1ccccc1)[N+](=O)[O-]
730,CSC(=N)N.OS(=O)(=O)O
731,C1CCC(N2CCNCC2)CC1
733,C=C(C)C(=O)OC1CC(C)(C)NC(C)(C)C1
738,C/C(N)=C\C(=O)OC(C)C
743,Oc1cc2ccccc2[nH]1
755,CC(C)(C)S(N)=O
756,Cc1cccc(C)c1[N+](=O)[O-]
761,CCCC(C)(CO)CO
763,Cc1n[nH]c(C)n1
764,CC1=Cc2ccccc2C1
765,CCN1CCC(O)C1
773,O=Cc1ccc([N+](=O)[O-])cc1
783,COCc1ccc(COC)cc1
786,CC(C)(C)CC(=O)O
790,CCCCc1ccsc1
800,C1CSCCN1
801,O=C(O)C1=COCCC1
803,COc1cccc(CO)c1
812,CCCCC(CC)(CO)CO
820,C=C(c1ccccc1)c1ccccc1
822,CCC(=O)CC(=O)OC
827,COC1=NCCCCC1
832,CCOC(=O)[C@H](O)c1ccccc1
834,CCCCOCCOCCOCCCC
847,CN(c1ccccc1)c1ccccc1
848,CCOC(=O)CCN1CCCCC1
868,CSC(=C[N+](=O)[O-])SC
875,CCN(CCO)c1cccc(C)c1
879,O=C1CCCN1C1CCCCC1
881,CCC(O)COC
889,CCc1nnc(N)s1
896,Cc1cc(C)cc(C(C)(C)C)c1
897,Cc1ccncc1C
913,CCOc1cccnn1
927,CSCC(=O)O
931,CC(C)(C)OC(=O)c1ccc(N)cc1
941,c1ccc(C2=NCCO2)cc1
946,N#CC1CCOCC1
952,CSc1ccc(O)cc1C
954,N#CCCNC1CCCCC1
959,Cc1cc(=O)[nH]o1
961,N#Cc1ccsc1
962,CC(=O)Nc1ccc(N)cc1
964,N#CCC(=O)c1ccccc1
971,CCN1CCCC1CN
985,N#CC1(c2ccccc2)CCCC1
